clade_name	/work/reads/S01.clean_1.fastq.gz	/work/reads/S02.clean_1.fastq.gz	/work/reads/S03.clean_1.fastq.gz	/work/reads/S04.clean_1.fastq.gz	/work/reads/S05.clean_1.fastq.gz	/work/reads/S06.clean_1.fastq.gz	/work/reads/S07.clean_1.fastq.gz	/work/reads/S08.clean_1.fastq.gz	/work/reads/S09.clean_1.fastq.gz	/work/reads/S10.clean_1.fastq.gz	/work/reads/S11.clean_1.fastq.gz	/work/reads/S12.clean_1.fastq.gz	/work/reads/S13.clean_1.fastq.gz	/work/reads/S14.clean_1.fastq.gz	/work/reads/S15.clean_1.fastq.gz	/work/reads/S16.clean_1.fastq.gz	/work/reads/S17.clean_1.fastq.gz	/work/reads/S18.clean_1.fastq.gz	/work/reads/S19.clean_1.fastq.gz	/work/reads/S20.clean_1.fastq.gz	/work/reads/S21.clean_1.fastq.gz	/work/reads/S22.clean_1.fastq.gz	/work/reads/S23.clean_1.fastq.gz	/work/reads/S24.clean_1.fastq.gz
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus sp498592|t__GCF_786800773.1	0.11093	0.08116	0.08663	0.17323	0.19946	0	0.12934	0.1602	0.47301	0.35127	0.17424	0.50878	0.37405	0.3803	0.08023	0	0.13557	0.13164	0.09867	0.13212	0	0.03797	0	0.15245
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus sp111859|t__GCF_671865125.1	0.8677	0.16825	0.14082	0.4812	0.33563	0.43465	0	0.13523	0.31787	0.97049	0	0	1.69719	0.21037	0.14767	1.12786	2.10721	0.2219	0	0	0	0	0.4029	0.22637
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp467460|t__GCF_488010780.1	0.0869	0.03396	0.33039	0.37467	0.16314	0.07152	0	0.32933	0.18477	0.17827	0.19213	0.63675	0.50691	0	0.15704	0.09107	0.25221	0.30344	0	0	0	0	0.03773	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp138690|t__GCF_352842732.1	0	0	0	0	0	0	0	0	0.03365	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp353390|t__GCF_876113726.1	0	0.0891	0.55867	0.32109	0.25574	0.47439	0.4247	0.14864	0.37882	0.28631	0.4342	0.12412	0	0.08395	0	0.08797	0.12789	0.10171	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia sp121095|t__GCF_620365125.1	0.43194	0.06692	0.09789	0.10933	0.04702	0.18683	0.1487	0.17716	1.08476	0.2687	0.24653	0.09747	0	0.11133	0.06748	0.07344	0.37254	0.17332	0	0	0.34465	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus sp365524|t__GCF_728775122.1	0.18454	0.33337	0.95066	0.26776	1.41619	0.38989	0.35053	0.12224	0.31244	0.62452	0.98154	0.38511	0	0.29696	0.45413	0.35233	0.24948	0.79367	0	0.12808	0	0.10227	1.17567	0
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia sp305908|t__GCF_402948604.1	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia sp698443|t__GCF_599760709.1	0.15149	0.1313	0.26942	0.44414	0.31178	0.59372	0.19581	0	0.43176	0.51916	0.11512	0	0.56805	0.14795	0.51129	0	0.71797	0	3.33336	2.72273	2.06851	5.90224	2.567	1.55302
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Parasutterella|s__Parasutterella sp281789|t__GCF_589348662.1	0	0.51303	0.74466	0.42443	0.10613	0.46951	1.73359	0.63117	0.67139	0.52725	0.6034	0.25809	0.4867	0.27225	0.77333	0.196	0.63233	0.85862	2.80015	0	1.26048	1.8471	2.52393	3.22955
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp366130|t__GCF_834999569.1	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae|g__Mucispirillum|s__Mucispirillum sp782277|t__GCF_697917469.1	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp302705|t__GCF_654875077.1	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
